/D	1st_author	PubmedID	GRASPversion?	No results flag	#results	IsEqtl/meQTL/pQTL/gQTL/Metabolmics?	Phenotype description	Phenotype categories assigned	DatePub	In NHGRI GWAS catalog (8/26/14)?	Journal	Study	Specific place(s) mentioned for samples	Includes male/female only analyses in discovery and/or replication?	Exclusively male or female study?	Initial Sample Size	Replication Sample Size	Platform [SNPs passing QC]	GWAS description	Total Discovery + Replication sample size	Total discovery samples	European	African ancestry	East Asian	Indian/South Asian	Hispanic	Native	Micronesian	Arab/ME	Mixed	Unspec	Filipino	Indonesian	Total replication samples	European	African ancestry	East Asian	Indian/South Asian	Hispanic	Native	Micronesian	Arab/ME	Mixed	Unspec	Filipino	Indonesian										
22379998	McCormack	22379998	GRASP 2.0		30		Lamotrigine- and phenytoin-induced hypersensitivity reactions	Drug response;Epilepsy;Adverse drug reaction (ADR)	3/12/14	y	Pharmacogenomics	Genome-wide mapping for clinically relevant predictors of lamotrigine- and phenytoin-induced hypersensitivity reactions.		n	n	"34 European ancestry lamotrigine-induced hypersensitivity cases, 42 European ancestry phenytoin-induced hypersensitivity cases, 1,296 European ancestry controls"	NR	"Illumina [~600,000]"	European	1372	1372	1372																																		
22383892	Min	22383892	GRASP 2.0		43	1	Gene expression networks in adipose and blood	Quantitative trait(s);Gene expression (RNA);Blood-related;Adipose-related	2/23/12	n	PLoS Genet	Coexpression network analysis in abdominal and gluteal adipose tissue reveals regulatory genetic loci for metabolic syndrome and related phenotypes.		n	n	69 individuals and 144 twins	NR	"Illumina [296,017]"	European	357	357	357																																		
22383894	Pierce	22383894	GRASP 2.0		45		Arsenic metabolism and toxicity	Quantitative trait(s);Urinary;Cancer-related;Environment	2/23/12	y	PLoS Genet	Genome-wide association study identifies chromosome 10q24.32 variants associated with arsenic metabolism and toxicity phenotypes in bangladesh.		n	n	"1,313 Bangladeshi individuals"	"1,085 Bangladeshi cases, 1,794 Bangladeshi controls"	"Illumina [259,597]"	Indian/South Asian	4192	1313				1313									2879				2879																		
22383897	Long	22383897	GRASP 2.0		55		Breast cancer	Cancer;Breast cancer;Gender;Female	2/23/12	y	PLoS Genet	Genome-wide association study in East asians identifies novel susceptibility Loci for breast cancer.		y	y	"2,918 Chinese ancestry cases, 2,324 Chinese ancestry controls"	"Up to 6,838 Chinese ancestry cases, Up to 6,888 Chinese ancestry controls, Up to 1,297 Han Chinese ancestry cases, Up to 1,585 Han Chinese ancestry controls, Up to 1,066 Taiwan Chinese cases, Up to 1,065 Taiwan Chinese controls, Up to 5,038 Korean ancestry cases, Up to 6,869 Korean ancestry controls, Up to 1,934 Japanese ancestry cases, Up to 1,875 Japanese ancestry controls"	"Affymetrix [690,947]"	Asian	39697	5242			5242										34455			34455																			
22384028	Guo	22384028	GRASP 2.0		119		Hypertension and blood pressure traits	Quantitative trait(s);Blood pressure;CVD risk factor (CVD RF)	2/24/12	y	PLoS One	A genome-wide linkage and association scan reveals novel Loci for hypertension and blood pressure traits.		n	n	315 Hong Kong Chinese individuals from 111 families	NR	"Illumina [503,984]"	Asian	315	315			315																																
22387017	Lee	22387017	GRASP 2.0		61		Huntington's disease	Neuro;Developmental;Huntington's disease	3/1/12	n	Am J Hum Genet	Common SNP-based haplotype analysis of the 4p16.3 Huntington disease gene region.		n	n	699 cases and 1676 controls	NR	"Affymetrix [436,185]"	European	2375	2375	2375																																		
22387998	Tanikawa	22387998	GRASP 2.0		111		Duodenal ulcer	Gastrointestinal;Infection	3/4/12	y	Nat Genet	A genome-wide association study identifies two susceptibility loci for duodenal ulcer in the Japanese population.		n	n	"1,043 Japanese ancestry cases, 21,694 Japanese ancestry controls"	"5,992 Japanese ancestry cases, 3,629 Japanese ancestry controls"	"Illumina [480,327]"	Asian	32358	22737			22737										9621			9621																			
22388998	Zhang	22388998	GRASP 2.0		72		Gaucher disease	Blood-related;Hepatic;Immune-related	1/19/12	y	Am J Hematol	Genome-wide association study of N370S homozygous Gaucher disease reveals the candidacy of CLN8 gene as a genetic modifier contributing to extreme phenotypic variation.		n	n	139 Ashkenazi Jewish cases	NR	"Illumina [540,902]"	European	139	139	139																																		
22391508	Jiang	22391508	GRASP 2.0		16		Skin naphthyl-keratin adduct levels in workers exposed to naphthalene	Skin-related;Quantitative trait(s);Environment	3/5/12	y	Environ Health Perspect	Single Nucleotide Polymorphisms Associated with Skin Naphthyl-Keratin Adduct Levels in Workers Exposed to Naphthalene.		n	n	"100 European ancestry, Hispanic, Asian and African American individuals"	NR	"Affymetrix [184,153]"	Mixed	100	100									100																										
22394158	Kim	22394158	GRASP 2.0		15		Sasang constitution	Social;Behavioral	3/6/12	n	J Altern Complement Med	Genome-wide association analysis of Sasang constitution in the Korean population.		n	n	1222 Korean individuals	NR	"Affymetrix [341,998]"	Asian	1222	1222			1222																																
22396660	Urabe	22396660	GRASP 2.0		144		Nephrolithiasis	Renal;Stone	3/1/12	y	PLoS Genet	"A genome-wide association study of nephrolithiasis in the Japanese population identifies novel susceptible Loci at 5q35.3, 7p14.3, and 13q14.1."		n	n	"904 Japanese ancestry cases, 7,471 Japanese ancestry controls"	"4,892 Japanese ancestry cases, 9,873 Japanese ancestry controls"	"Illumina [556,249]"	Asian	23140	8375			8375										14765			14765																			
22399142	Jongjaroenprasert	22399142	GRASP 2.0		60		Thyrotoxic hypokalemic periodic paralysis	Thyroid;Muscle-related;Grave's disease;Gender;Male	3/8/12	y	J Hum Genet	A genome-wide association study identifies novel susceptibility genetic variation for thyrotoxic hypokalemic periodic paralysis.		y	y	"78 Thai ancestry cases, 74 Thai ancestry controls"	"28 Thai ancestry cases, 48 Thai ancestry controls"	"Illumina [508,393]"	Asian	228	152			152										76			76																			
22399527	Kristiansson	22399527	GRASP 2.0		62		"Metabolic syndrome (HDL cholesterol, triglycerides, plasma glucose, waist circumference, systolic and diastolic blood pressure)"	CVD risk factor (CVD RF);Lipids;Type 2 diabetes (T2D);Adipose-related;Blood pressure;Plasma;Blood-related	3/7/12	y	Circ Cardiovasc Genet	Genome-Wide Screen for Metabolic Syndrome Susceptibility Loci Reveals Strong Lipid Gene Contribution but No Evidence for Common Genetic Basis for Clustering of Metabolic Syndrome Traits.		n	n	"2,637 European ancestry cases, 7,927 European ancestry controls"	NR	"Illumina [1,257,079] (imputed)"	European	10564	10564	10564																																		
22403646	Froguel	22403646	GRASP 2.0		34		Circulating haptoglobin levels	Quantitative trait(s);Blood-related;Inflammation	3/5/12	y	PLoS One	A Genome-Wide Association Study Identifies rs2000999 as a Strong Genetic Determinant of Circulating Haptoglobin Levels.		n	n	631 European ancestry children	"2,957 European ancestry family members, 1,434 European ancestry individuals"	"Illumina [318,237]"	European	5022	631	631												4391	4391																					
22412387	Ben-David	22412387	GRASP 2.0		10		Autism spectrum disorders	Neuro;Behavioral;Autism	3/8/12	n	PLoS Genet	Networks of neuronal genes affected by common and rare variants in autism spectrum disorders.		n	n	943 families	"1,753 families"	"Illumina [up to 788,010]"	European	2696	943	943												1753	1753																					
22412388	Kenny	22412388	GRASP 2.0		174		Crohn's disease	Inflammation;Gastrointestinal;Crohn's disease	3/8/12	y	PLoS Genet	A genome-wide scan of ashkenazi jewish Crohn's disease suggests novel susceptibility Loci.		n	n	"737 Ashkenazi Jewish cases, 2,257 Ashkenazi Jewish controls"	"971 Ashkenazi Jewish cases, 2,124 Ashkenazi Jewish controls"	"Affyemtrix & Illumina [1,060,934] (imputed)"	European	6089	2994	2994												3095	3095																					
22417934	Athanasiu	22417934	GRASP 2.0		14		"Neuropsychological treatments and metabolic and cardiovascular risk factors (HDL cholesterol, BMI)"	Drug response;Neuro;Behavioral;Bipolar disorder;Schizophrenia;Adverse drug reaction (ADR);Quantitative trait(s);Weight;CVD risk factor (CVD RF);Body mass index;Lipids	3/12/12	y	Psychiatry Res	Genome-wide association study identifies genetic loci associated with body mass index and high density lipoprotein-cholesterol levels during psychopharmacological treatment - a cross-sectional naturalistic study.		n	n	"283 European ancestry schizophrenia cases, 213 European ancestry bipolar disorder cases, 98 European ancestry psychosis cases"	NR	"Affymetrix [608,239]"	European	593	593	593																																		
22419666	Shi	22419666	GRASP 2.0		584		Maternally-mediated genetic effects and parent-of-origin effects on risk of orofacial clefting	Congenital;Oral-related	3/14/12	y	Am J Med Genet A	Genome wide study of maternal and parent-of-origin effects on the etiology of orofacial clefts.		y	n	"1,094 European ancestry triads, 1,277 Asian ancestry triads and 87 other ancestry triads"	NR	"Illumina [589,945]"	Mixed	2458	2458	1094		1277							87																									
22419738	Osman	22419738	GRASP 2.0		129		"Glaucoma, primary open-angle"	Eye-related;Glaucoma	3/13/12	y	Hum Mol Genet	A genome-wide association study in the Japanese population confirms 9p21 and 14q23 as susceptibility loci for primary open angle glaucoma.		n	n	"1,394 Japanese ancestry cases, 6,599 Japanese ancestry controls"	"1,802 Japanese ancestry cases, 7,212 Japanese ancestry controls"	"Illumina [602,216]"	Asian	17007	7993			7993										9014			9014																			
22423221	Qayyum	22423221	GRASP 2.0		306		Platelet count (PLT) and platelet volume (MPV)	Quantitative trait(s);Blood-related;Platelet	3/8/12	y	PLoS Genet	A meta-analysis and genome-wide association study of platelet count and mean platelet volume in african americans.		n	n	"16,388 African American individuals"	NR	Affymetrix & Illumina [~2.2 million](imputed)	African	16388	16388		16388																																	
22424883	Imboden	22424883	GRASP 2.0		10554		Lung function decline in adults with and without asthma	Quantitative trait(s);Asthma;Pulmonary;Chronic lung disease;Inflammation	3/15/12	y	J Allergy Clin Immunol	Genome-wide association study of lung function decline in adults with and without asthma.		n	n	"1,441 European ancestry asthma cases, 2,677 European ancestry controls"	"1,160 European ancestry asthma cases, 10,858 European ancestry controls"	Illumina [~2.5 million] (imputed)	European	16136	4118	4118												12018	12018																					
22425255	Lopez	22425255	GRASP 2.0		586		Brain white matter integrity	Quantitative trait(s);Neuro;Imaging	3/15/12	y	Neurobiol Aging	A genome-wide search for genetic influences and biological pathways related to the brain's white matter integrity.		n	n	535 European ancestry individuals	NR	"Illumina [542,050]"	European	535	535	535																																		
22426144	Long	22426144	GRASP 2.0		101		Endometrial cancer	Cancer;Endometrial cancer;Reproductive;Gender;Female	3/16/12	y	Cancer Epidemiol Biomarkers Prev	Genome-wide association study identifies a possible susceptibility locus for endometrial cancer.		y	y	"832 Chinese ancestry cases, 2,682 Chinese ancestry controls"	"6,864 European ancestry cases, 12,936 European ancestry controls, 796 Chinese ancestry cases, 978 Chinese ancestry controls"	"Affymetrix [585,963]"	Mixed	25088	3514			3514										21574	19800		1774																			
22428042	Nakano	22428042	GRASP 2.0		72		Glaucoma (optic nerve degeneration in glaucoma)	Eye-related;Glaucoma	3/12/12	y	PLoS One	Common Variants in CDKN2B-AS1 Associated with Optic-Nerve Vulnerability of Glaucoma Identified by Genome-Wide Association Studies in Japanese.		n	n	"833 Japanese ancestry cases, 686 Japanese ancestry controls"	"411 Japanese ancestry cases, 289 Japanese ancestry controls"	"Affymetrix [653,519]"	Asian	2219	1519			1519										700			700																			
22430674	Lambert	22430674	GRASP 2.0		10		Alzheimer's disease	Neuro;Alzheimer's disease	3/20/12	y	Mol Psychiatry	Genome-wide haplotype association study identifies the FRMD4A gene as a risk locus for Alzheimer's disease.		n	n	"2,025 European ancestry cases, 5,328 European ancestry controls"	"7,913 European ancestry cases, 10,417 European ancestry controls"	Illumina [~7.7 million] (imputed)	European	25683	7353	7353												18330	18330																					
22432041	Johnson	22432041	GRASP 2.0		17		Pre-eclampsia	Reproductive;Gender;Female;Pregnancy-related;Blood pressure;CVD risk factor (CVD RF)	3/14/12	y	PLoS One	"Genome-wide association scan identifies a risk locus for preeclampsia on 2q14, near the inhibin, beta B gene."		y	y	"538 European ancestry cases, 540 European ancestry  controls"	"1,894 European ancestry cases, 3,022 European ancestry controls"	"Illumina [648,175]"	European	5994	1078	1078												4916	4916																					
22437316	Sarig	22437316	GRASP 2.0		76		Pemphigus vulgaris	Immune-related;Skin-related	3/22/12	y	J Invest Dermatol	"Population-specific association between a polymorphic variant in ST18, encoding a pro-apoptotic molecule, and pemphigus vulgaris."		n	n	"100 Jewish cases, 397 Jewish controls"	"59 Jewish cases, 285 Jewish controls, 124 European ancestry cases, 275 European anestry controls, 126 North African ancestry controls, 246 North African ancestry controls"	"Illumina [293,635]"	Mixed	1612	497	497												1115	743							372														
22437554	Major	22437554	GRASP 2.0		51		"Alpha-tocopherol after vitamin E supplementation in men, serum"	Treatment response;Diet-related;Blood-related;Serum;Gender;Male	3/21/12	y	J Nutr	Genome-wide association study identifies three common variants associated with serologic response to vitamin E supplementation in men.		y	y	"2,112 European ancestry individuals"	NR	"Illumina [549,989]"	European	2112	2112	2112																																		
22438815	Lill	22438815	GRASP 2.0		209		Parkinson's disease	Neuro;Parkinson's disease	3/15/12	y	PLoS Genet	Comprehensive research synopsis and systematic meta-analyses in Parkinson's disease genetics: The PDGene database.		n	n	"2,197 Other ancestry cases, 2,061 Other ancestry controls"	"Up to 98,080 individuals of European and Asian ancestry"	"Illumina and Perlegen [7,123,920] (imputed)"	Mixed	102338	4258									4258				98080									98080													
22440650	Chen	22440650	GRASP 2.0		257		Schizophrenia and brain fMRI during sensorimotor tasks	Neuro;Imaging;Behavioral;Schizophrenia	3/13/12	n	Neuroimage	Multifaceted genomic risk for brain function in schizophrenia.		n	n	92 cases and 116 controls	NR	"Illumina [777,635]"	Mixed	208	208	177	17	11			2			1																										
22443383	Oudot-Mellakh	22443383	GRASP 2.0		51		"Natural anticoagulant inhibitors and protein C anticoagulant pathway in venous thrombosis, in plasma"	Cardiovascular disease (CVD);Stroke;Platelet;Venous;Thrombosis;Quantitative trait(s);Blood-related;Plasma	1/16/12	y	Br J Haematol	Genome wide association study for plasma levels of natural anticoagulant inhibitors and protein C anticoagulant pathway: the MARTHA project.		n	n	951 European ancestry individuals	NR	"Illumina [472,123]"	European	951	951	951																																		
22445761	Kurose	22445761	GRASP 2.0		54		SSRI/SNRI-induced sexual dysfunction in depression	Drug response;Neuro;Depression;Reproductive;Behavioral	3/23/12	y	Psychiatry Res	Genome-wide association study of SSRI/SNRI-induced sexual dysfunction in a Japanese cohort with major depression.		n	n	201 Japanese ancestry individuals	NR	"Affymetrix [186,320]"	Asian	201	201			201																																
